source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,pmra,pmdec,j_m,h_m,k_m,ph_qual
598978342419035904,132.20420894486324,11.975944504891032,0.8685167952988271,13.599147,1.1084118,-5.290516406532758,-7.432872371896061,16.485,16.004,15.531,BCU
601970972551837184,131.80639185861062,11.817448372945888,4.540718831078338,13.342397,1.3563614,-11.893438315884946,-8.799874658584146,15.548,15.259,15.341,AAC
601973034136134400,131.86788076884193,11.876328131377278,1.379416782392905,13.716744,0.7547531,-2.493685702635315,-3.0529911802589087,15.437,15.044,14.755,AAB
601980490199352576,132.08804321264697,11.962754498410845,0.44061774866667286,13.467928,0.21485901,-1.6514262568555442,-4.103355366096169,15.695,15.202,15.11,AAU
601980799436997376,132.08052119324051,11.989686348860056,1.555584471277486,13.83383,0.82693386,-27.919384858006733,-5.7395811928742475,16.532,15.887,16.177,BCU
601981349192808448,132.12241371960252,12.041180436789245,0.8200141174996608,13.537878,0.8684845,7.589781511137938,-8.067531492818015,15.128,14.522,14.512,AAA
601982723582351616,131.91790964113846,11.978237768445373,1.700051445209817,13.717547,0.91542244,-2.119785556946741,-15.829134826808927,15.66,14.915,14.793,AAA
601985227547490048,132.0170820977208,12.070880461466682,3.8234341574273527,13.159088,1.2842178,-25.92483060415511,-14.999351230318794,14.623,14.205,14.041,AAA
601986503153516800,132.02386785738045,12.12799990555796,1.3215390325864627,13.421473,0.70869446,-2.8694556660819788,-7.5190401887952065,15.449,15.27,14.623,AAB
601986915471313024,132.03111513228495,12.159203518790745,1.4340519263778808,12.237757,0.69331264,-14.354138841748416,-1.7215724347827859,14.167,13.587,13.436,AAA
601986949830116224,131.99582712205813,12.156488853924309,0.61930114995664,11.704589,1.222435,-4.828586833119498,-0.03708957256394562,15.933,15.879,15.24,UBU
601986979894141440,132.0180553211671,12.167977659434886,0.5226274895777988,12.0198965,1.027853,-2.702174129009191,-6.9231993110584344,14.135,13.833,13.74,AAA
601997597053299328,131.86327243469003,12.128828721228867,0.4718113325732749,12.2646055,1.2104597,-8.63286329989337,-0.08048776949087078,12.625,12.365,12.335,AAA
601998215528589312,131.9324245681864,12.133153328943731,0.7627355245356502,12.931565,0.5661249,-6.1239604447032665,-1.3668432132267985,14.703,13.21,12.678,AAA
601998318607804032,131.90803831066953,12.14398359782805,0.8961207564523231,12.5760765,0.6060333,-5.991007510024742,-1.9650162904899071,12.291,12.206,12.189,AAA
601998627845449088,131.95690775814643,12.15129650440038,1.7825631556261463,11.531828,0.66001606,-10.028250194641526,-6.453240996246484,14.166,14.089,14.189,AAA
601999250616455168,131.8983060301823,12.17069243211625,1.5435949287383588,8.218385,1.4184194,1.030789360111977,-5.347180338733013,14.972,14.276,14.098,AAA
602000075250173056,131.92443859278396,12.23346654221231,0.46160187986651835,13.469939,1.20362,-3.7116611721254875,-9.630271257369929,15.633,14.743,14.303,AAA
604628011119732992,133.42060461035265,11.096483508990051,1.6534502386279208,13.950994,0.9425163,-5.965541710896494,1.8049083214916708,17.479,14.971,14.268,UAA
